file_id,orig_filename,new_filename,orig_path,new_path,size_bytes,status
1,"CarlAndSophie Taiwan 01Jan97.jpg","CarlAndSophie Taiwan 01Jan97.jpg","/run/media/carl/A1-2026-05/orig/1997/CarlAndSophie Taiwan 01Jan97.jpg","/run/media/carl/A1-2026-05/new/photos/unknown/CarlAndSophie Taiwan 01Jan97.jpg",3516924,"copied"
2,"CarlAndSophie Taiwan 01Jan97.pdf","CarlAndSophie Taiwan 01Jan97.pdf","/run/media/carl/A1-2026-05/orig/1997/CarlAndSophie Taiwan 01Jan97.pdf","/run/media/carl/A1-2026-05/new/other/CarlAndSophie Taiwan 01Jan97.pdf",3599761,"copied"
3,"OLD__007.jpg","OLD__007_21-47-08.jpg","/run/media/carl/A1-2026-05/orig/2001/20010824 24Aug01/OLD__007.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-24/OLD__007_21-47-08.jpg",270533,"copied"
4,"OLD__008.jpg","OLD__008_21-48-14.jpg","/run/media/carl/A1-2026-05/orig/2001/20010824 24Aug01/OLD__008.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-24/OLD__008_21-48-14.jpg",516948,"copied"
5,"OLD__002.jpg","OLD__002_17-36-46.jpg","/run/media/carl/A1-2026-05/orig/2001/20010828 28Aug01/OLD__002.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-28/OLD__002_17-36-46.jpg",204472,"copied"
6,"OLD__003.jpg","OLD__003_17-37-19.jpg","/run/media/carl/A1-2026-05/orig/2001/20010828 28Aug01/OLD__003.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-28/OLD__003_17-37-19.jpg",659554,"copied"
7,"OLD__004.jpg","OLD__004_17-38-54.jpg","/run/media/carl/A1-2026-05/orig/2001/20010828 28Aug01/OLD__004.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-28/OLD__004_17-38-54.jpg",294650,"copied"
8,"OLD__005.jpg","OLD__005_17-40-55.jpg","/run/media/carl/A1-2026-05/orig/2001/20010828 28Aug01/OLD__005.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-28/OLD__005_17-40-55.jpg",257950,"copied"
9,"OLD__006.jpg","OLD__006_17-41-51.jpg","/run/media/carl/A1-2026-05/orig/2001/20010828 28Aug01/OLD__006.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-28/OLD__006_17-41-51.jpg",294650,"copied"
10,"OLD__000.jpg","OLD__000_21-13-36.jpg","/run/media/carl/A1-2026-05/orig/2001/20010830 30Aug01/OLD__000.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-30/OLD__000_21-13-36.jpg",262144,"copied"
11,"OLD__001.jpg","OLD__001_21-13-49.jpg","/run/media/carl/A1-2026-05/orig/2001/20010830 30Aug01/OLD__001.jpg","/run/media/carl/A1-2026-05/new/photos/2001/2001-08-30/OLD__001_21-13-49.jpg",487588,"copied"
